tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1572221689714319360,2293315159,"11 years ago #OTD, “Don’t Ask, Don’t Tell”—a discriminatory ban on gay, lesbian, and bisexual service members—was officially repealed under President @BarackObama, allowing Americans to serve their country openly without hiding who they are. https://t.co/JZiSnXlTJG",,307,ObamaFoundation,5,19,82,2022-09-20T13:50:35.000Z
1572194072923602947,2293315159,Wow! So exciting stopping by the construction site for the future Obama Presidential Center in Jackson Park! I’m blown away by our incredible and diverse construction team and all the progress they’ve made! Only more good things to come! https://t.co/4gxJY7BXkU,retweeted,0,ObamaFoundation,0,0,62,2022-09-20T12:00:51.000Z
1571854787343273986,2293315159,"Michelle and I were lucky enough to know Her Majesty The Queen. Back when we were just beginning to navigate life as President and First Lady, she welcomed us to the world stage with extraordinary generosity. Our thoughts are with the Royal Family and those mourning her passing. https://t.co/pHzpUJwgYb",retweeted,0,ObamaFoundation,0,0,7850,2022-09-19T13:32:39.000Z
1570505905569157121,2293315159,"On #InternationalDemocracyDay, revisit President @BarackObama’s reflection on the importance of a positive vision for democracy and the promise of the next generation to chart a better course. https://t.co/hYeki1UmQl",,488,ObamaFoundation,8,29,149,2022-09-15T20:12:41.000Z
1570423835861852162,2293315159,"This #LatinxHeritageMonth we're celebrating the Latinx and Hispanic voters, campaign volunteers, and administration staff who helped make President Obama's historic path to the White House possible. These are the types of stories we'll tell at the Obama Presidential Center. https://t.co/z58YwWxnlt",,266,ObamaFoundation,3,15,78,2022-09-15T14:46:34.000Z
1570423279046868994,2293315159,"Today I’m in NYC at the @Forbes 10th Annual Power Women’s Summit!  I’ll be interviewed by @RandallLane about how the @ObamaFoundation is helping the next generation of women find the power of their voices and lead.
 
🎟️ Follow along!#FORBESWOMEN https://t.co/KbBdDpjnzc",retweeted,0,ObamaFoundation,0,0,37,2022-09-15T14:44:21.000Z
1569741151766290432,2293315159,"Former President @BarackObama and @bchesky surprised the first class of “Voyager Scholarship” recipients, awarding 100 college students with financial aid and travel stipends to pursue public service. https://t.co/LbziZ6lmYp",retweeted,0,ObamaFoundation,0,0,74,2022-09-13T17:33:49.000Z
1569728902766919682,2293315159,Congrats to the first class of Voyager Scholarship recipients. I’m excited to see the good they can do in communities around the world https://t.co/W3l9589Nlk,retweeted,0,ObamaFoundation,0,0,71,2022-09-13T16:45:09.000Z
1569728808659337220,2293315159,"Ready for my next chapter! 

Thrilled to share I have been awarded the #voyagerscholarship for public service created by the Obamas and Brian Chesky. I’m so excited to represent the inaugural class of Voyagers! https://t.co/LeDMVkRqb6",retweeted,0,ObamaFoundation,0,0,12,2022-09-13T16:44:46.000Z
1569725161016037376,2293315159,Thank you to the Obamas and Brian Chesky for creating the #VoyagerScholarship for Public Service! I'm ready to continue learning how I can help expand health equity through access to culturally competent care for marginalized communities. https://t.co/zBsMHOSj7M,retweeted,0,ObamaFoundation,0,0,21,2022-09-13T16:30:17.000Z
1569705707007614977,2293315159,"Thrilled to share I have been awarded the #VoyagerScholarship, created by the Obamas and Airbnb's Brian Chesky. I'm ready to continue learning how I can help expand access to basic hygiene necessities and education in underserved and marginalized communities while at @RutgersU. https://t.co/pHWYR1XudM",retweeted,0,ObamaFoundation,0,0,25,2022-09-13T15:12:58.000Z
1569705430426783745,2293315159,"WOW! Feeling inspired after getting to know the inaugural class of 100 Voyagers! Thank you @MichelleObama, @BarackObama, and @bchesky for dreaming up the #VoyagerScholarship to support the next generation of public service leaders. https://t.co/KtlWnm2kJl",retweeted,0,ObamaFoundation,0,0,34,2022-09-13T15:11:52.000Z
1569705243654455300,2293315159,"Congratulations to Centre College's Gloria Lwin '24 on being named to the inaugural class of Voyager Scholars, a group of 100 service-driven college leaders who are the first to receive the Obama-Chesky Scholarship for Public Service. #VoyagerScholarship https://t.co/EKLuaPWfBT",retweeted,0,ObamaFoundation,0,0,18,2022-09-13T15:11:08.000Z
1569669963538997248,2293315159,"Barack, @BChesky, and I are thrilled to announce the 100 young leaders who will be the first-ever recipients of our Voyager Scholarship. These changemakers are making a difference in their communities and are eager to pursue careers in public service. https://t.co/bIU631MJvP",retweeted,0,ObamaFoundation,0,0,541,2022-09-13T12:50:57.000Z
1569664750593662978,2293315159,"100 college students who are ready to pick up the baton of change through public service have started their journeys as the inaugural class of Voyagers!
 
Created by the Obamas and @Airbnb’s @bchesky, the #VoyagerScholarship will support a new generation of changemakers.",,210,ObamaFoundation,11,9,59,2022-09-13T12:30:14.000Z
1568960864564150274,2293315159,Today we remember the victims of the 9/11 terrorist attacks. To ensure that future generations #NeverForget—both the victims and the way Americans united after the attacks—President @BarackObama proclaimed September 11th as a National Day of Service in 2013. https://t.co/00BJxPhouL,,982,ObamaFoundation,4,18,187,2022-09-11T13:53:14.000Z
1568642565745827840,2293315159,⏪ Take a look at the historic unveiling of the President and Mrs. Obama’s official White House portraits—created by Robert McCurdy and Sharon Sprung. https://t.co/TrNR3NDfzd,,2873,ObamaFoundation,44,105,495,2022-09-10T16:48:26.000Z
1568359046775980033,2293315159,"Yesterday, @BarackObama reflected on Queen Elizabeth II's passing and noted the grace, dignity, and work ethic she displayed over seven decades.

In recognition of her life and legacy, take a look at some moments she shared with President and Mrs. Obama: https://t.co/OZKLxnmXTR",,615,ObamaFoundation,4,19,118,2022-09-09T22:01:50.000Z
1567957237515304960,2293315159,"""Michelle and I are grateful to have witnessed Her Majesty’s dedicated leadership, and we are awed by her legacy of tireless, dignified public service.""
 
Read President and Mrs. Obama's statement on the passing of Her Majesty Queen Elizabeth II:
https://t.co/Qo1wHpogJ5",,1953,ObamaFoundation,8,30,285,2022-09-08T19:25:11.000Z
